,feature,size,weight,gain,cv
53,GeneID.7494,70,,,1
54,GeneID.5733,70,,,1
55,GeneID.2173,70,,,1
56,GeneID.10200,70,,,1
57,GeneID.57650,70,0.01876172607879925,4.135431003,1
58,GeneID.983,70,,,1
59,GeneID.23498,70,0.039399624765478425,3.7856556809523814,1
60,GeneID.29127,70,,,1
61,GeneID.22974,70,0.00375234521575985,2.74839592,1
62,GeneID.80129,70,0.00375234521575985,4.050092935,1
63,GeneID.1308,70,0.020637898686679174,2.5411743036363634,1
64,GeneID.146433,70,,,1
65,GeneID.11004,70,,,1
66,GeneID.90634,70,,,1
67,GeneID.6790,70,,,1
68,GeneID.10615,70,,,1
69,GeneID.6038,70,,,1
0,GeneID.1672,60,0.1252302025782689,10.86248246882353,1
1,GeneID.8424,60,0.06445672191528545,10.75904673542857,1
2,GeneID.83903,60,0.10128913443830571,9.377878403272728,1
3,GeneID.4137,60,0.020257826887661142,8.945065845454543,1
4,GeneID.55165,60,0.001841620626151013,7.94764328,1
5,GeneID.2064,60,0.009208103130755065,7.784322168,1
6,GeneID.27190,60,0.0718232044198895,6.363349547948718,1
7,GeneID.8200,60,0.0055248618784530384,5.55388975,1
8,GeneID.3872,60,0.11233885819521179,5.393200833278688,1
9,GeneID.306,60,0.04419889502762431,4.812264600833333,1
10,GeneID.29089,60,0.011049723756906077,4.457169771666666,1
11,GeneID.57650,60,0.020257826887661142,4.478479385454546,1
12,GeneID.80129,60,0.0055248618784530384,4.0689257,1
13,GeneID.12,60,0.09208103130755065,3.8170196202000013,1
14,GeneID.23498,60,0.03130755064456722,3.8140300588235294,1
15,GeneID.81706,60,0.020257826887661142,3.371831375454546,1
16,GeneID.11162,60,0.02394106813996317,3.198142564615385,1
17,GeneID.342667,60,0.001841620626151013,4.57719517,1
18,GeneID.6422,60,0.014732965009208104,2.9429529925,1
19,GeneID.7783,60,0.03130755064456722,3.388117607647059,1
20,GeneID.10948,60,0.009208103130755065,2.1069784159999996,1
21,GeneID.3852,60,0.020257826887661142,3.125329668181818,1
22,GeneID.11065,60,0.003683241252302026,2.900631185,1
23,GeneID.22974,60,,,1
24,GeneID.3400,60,0.01841620626151013,2.791647576,1
25,GeneID.2296,60,0.003683241252302026,3.098694805,1
26,GeneID.1308,60,0.016574585635359115,2.431168291111111,1
27,GeneID.3861,60,0.007366482504604052,2.4790114175,1
28,GeneID.7272,60,0.009208103130755065,2.7802844999999996,1
29,GeneID.3868,60,0.06261510128913444,1.7199715226470587,1
30,GeneID.23650,60,0.02578268876611418,1.4899617949999997,1
31,GeneID.154141,60,,,1
32,GeneID.196993,60,0.0055248618784530384,7.126281896666666,1
33,GeneID.84299,60,0.003683241252302026,1.5874990850000001,1
34,GeneID.79083,60,0.001841620626151013,4.20752811,1
35,GeneID.3169,60,,,1
36,GeneID.1058,60,,,1
37,GeneID.9133,60,,,1
38,GeneID.9700,60,,,1
39,GeneID.319089,60,,,1
40,GeneID.5347,60,,,1
41,GeneID.332,60,,,1
42,GeneID.8190,60,,,1
43,GeneID.2625,60,,,1
44,GeneID.151648,60,,,1
45,GeneID.85004,60,,,1
46,GeneID.7832,60,0.001841620626151013,1.67093444,1
47,GeneID.55839,60,,,1
48,GeneID.9156,60,0.001841620626151013,3.05405235,1
49,GeneID.55861,60,,,1
50,GeneID.10403,60,,,1
51,GeneID.8914,60,,,1
52,GeneID.27202,60,,,1
53,GeneID.89846,60,,,1
54,GeneID.135295,60,,,1
55,GeneID.25803,60,,,1
56,GeneID.2099,60,,,1
57,GeneID.26166,60,,,1
58,GeneID.7494,60,,,1
59,GeneID.5733,60,,,1
0,GeneID.1672,50,0.12844036697247707,10.797744676571428,1
1,GeneID.8424,50,0.06788990825688074,10.166438603513516,1
2,GeneID.83903,50,0.10642201834862386,9.471309064827588,1
3,GeneID.4137,50,0.022018348623853212,8.714101076666665,1
4,GeneID.55165,50,0.001834862385321101,7.77509308,1
5,GeneID.2064,50,0.012844036697247707,7.928427015714285,1
6,GeneID.196993,50,,,1
7,GeneID.27190,50,0.07339449541284404,6.041136097750001,1
8,GeneID.8200,50,0.005504587155963303,6.418438753333334,1
9,GeneID.3872,50,0.11376146788990826,5.151582259838709,1
10,GeneID.306,50,0.044036697247706424,4.8227740925,1
11,GeneID.342667,50,0.001834862385321101,4.33467484,1
12,GeneID.57650,50,0.01651376146788991,3.4827525877777776,1
13,GeneID.29089,50,0.011009174311926606,4.2945966349999996,1
14,GeneID.79083,50,,,1
15,GeneID.80129,50,0.012844036697247707,3.8462804385714287,1
16,GeneID.12,50,0.09174311926605505,3.835953269800001,1
17,GeneID.23498,50,0.027522935779816515,3.792696397333333,1
18,GeneID.7783,50,0.023853211009174313,3.230396179230769,1
19,GeneID.81706,50,0.022018348623853212,3.6221672708333337,1
20,GeneID.11162,50,0.02018348623853211,3.3883317163636364,1
21,GeneID.3852,50,0.022018348623853212,3.6957976816666664,1
22,GeneID.2296,50,0.001834862385321101,4.08725739,1
23,GeneID.9156,50,,,1
24,GeneID.6422,50,0.011009174311926606,3.3816163533333334,1
25,GeneID.11065,50,0.001834862385321101,3.04469657,1
26,GeneID.3400,50,0.02018348623853211,2.763619941818182,1
27,GeneID.7272,50,0.005504587155963303,2.6663688833333334,1
28,GeneID.3861,50,0.001834862385321101,2.46427822,1
29,GeneID.1308,50,0.025688073394495414,2.4469508799999997,1
30,GeneID.10948,50,0.001834862385321101,4.882164,1
31,GeneID.3868,50,0.06972477064220184,1.6889304455263154,1
32,GeneID.7832,50,,,1
33,GeneID.84299,50,0.001834862385321101,4.25820065,1
34,GeneID.23650,50,0.029357798165137616,1.652373285,1
35,GeneID.22974,50,,,1
36,GeneID.154141,50,,,1
37,GeneID.3169,50,,,1
38,GeneID.1058,50,,,1
39,GeneID.9133,50,,,1
40,GeneID.9700,50,,,1
41,GeneID.319089,50,,,1
42,GeneID.5347,50,,,1
43,GeneID.332,50,,,1
44,GeneID.8190,50,0.003669724770642202,2.79351091,1
45,GeneID.2625,50,,,1
46,GeneID.151648,50,,,1
47,GeneID.85004,50,,,1
48,GeneID.55839,50,,,1
49,GeneID.55861,50,,,1
0,GeneID.1672,40,0.11532125205930807,10.570924795285716,1
1,GeneID.8424,40,0.057660626029654036,9.641477295999996,1
2,GeneID.83903,40,0.09555189456342669,8.934974018620691,1
3,GeneID.4137,40,0.02471169686985173,8.143452611333332,1
4,GeneID.2064,40,0.016474464579901153,7.1944518099999994,1
5,GeneID.55165,40,0.008237232289950576,6.822720576,1
6,GeneID.8200,40,0.004942339373970346,4.637044826666666,1
7,GeneID.27190,40,0.05601317957166392,6.352562315882352,1
